Sport,Sport_subTitle,Team1,Team2,StartTime,Round
Handball,Men's Preliminary Round Group A (#1),Spain,Slovenia,2024-07-27T07:00:00.000+00:00,
Rowing,Men's Single Sculls Heats,,,2024-07-27T07:00:00.000+00:00,
Shooting,10m Air Rifle Mixed Team Qualification,,,2024-07-27T07:00:00.000+00:00,
Volleyball,Men's Preliminary Round - Pool C (#1),Japan,Germany,2024-07-27T07:00:00.000+00:00,
Equestrian,Eventing Individual Dressage,,,2024-07-27T07:30:00.000+00:00,
Equestrian,Eventing Team Dressage,,,2024-07-27T07:30:00.000+00:00,
Hockey,Men's Pool A (#M01),Great Britain,Spain,2024-07-27T08:00:00.000+00:00,
Rowing,Women's Single Sculls Heats,,,2024-07-27T08:12:00.000+00:00,
Hockey,Men's Pool B (#M02),Belgium,Ireland,2024-07-27T08:30:00.000+00:00,
Shooting,10m Air Pistol Men's Qualification,,,2024-07-27T08:30:00.000+00:00,
Artistic Gymnastics,Men's Qualification - Subdivision 1,,,2024-07-27T09:00:00.000+00:00,
Basketball,Men's Group Phase - Group A (#1),Australia,Spain,2024-07-27T09:00:00.000+00:00,
Diving,Women's Synchronised 3m Springboard Final,,,2024-07-27T09:00:00.000+00:00,medal match
Handball,Men's Preliminary Round Group B (#2),Hungary,Egypt,2024-07-27T09:00:00.000+00:00,
Swimming,Women's 100m Butterfly - Heats,,,2024-07-27T09:00:00.000+00:00,
Swimming,Women's 400m Freestyle - Heats,,,,
Swimming,Men's 100m Breaststroke - Heats,,,,
Swimming,Men's 400m Freestyle - Heats,,,,
Swimming,Women's 4 x 100m Freestyle Relay - Heats,,,,
Swimming,Men's 4 x 100m Freestyle Relay - Heats,,,,
Rowing,Men's Double Sculls Heats,,,2024-07-27T09:30:00.000+00:00,
Rowing,Women's Double Sculls Heats,,,2024-07-27T10:00:00.000+00:00,
Skateboarding,Men's Street Prelims,,,2024-07-27T10:00:00.000+00:00,
Rowing,Men's Quadruple Sculls Heats,,,2024-07-27T10:30:00.000+00:00,
Shooting,10m Air Pistol Women's Qualification,,,2024-07-27T10:30:00.000+00:00,
Hockey,Men's Pool A (#M03),Netherlands,South Africa,2024-07-27T10:45:00.000+00:00,
Rowing,Women's Quadruple Sculls Heats,,,2024-07-27T10:50:00.000+00:00,
